"tsn";"genus";"species";"en_com_name";"fr_com_name";"qc_code";"on_tree_code";"on_alpha_code";"us_code";"nb_code";"id_spe"
17937;"Cyathea";;"treefern";;;;;6847;;"17937-CYA-NA"
17938;"Cyathea";"andina";"parrotfeather treefern";;;;;6834;;"17938-CYA-AND"
17939;"Cyathea";"arborea";"West Indian treefern";;;;;6835;;"17939-CYA-ARB"
17940;"Cyathea";"furfuracea";"Jamaican treefern";;;;;6839;;"17940-CYA-FUR"
17941;"Cyathea";"parvula";"small treefern";;;;;6843;;"17941-CYA-PAR"
17947;"Cibotium";;"manfern";;;;;6549;;"17947-CIB-NA"
17948;"Cibotium";"chamissoi";"Chamissos manfern";;;;;6546;;"17948-CIB-CHA"
17949;"Cibotium";"glaucum";"hapuu";;;;;6547;;"17949-CIB-GLA"
18031;"Abies";;"fir";;;;;10;;"18031-ABI-NA"
18032;"Abies";"balsamea";"Balsam fir ;balsam fir";"Sapin baumier";"SAB";20;"Bf";12;5;"18032-ABI-BAL"
18033;"Picea";;"spruce";;;;;90;;"18033-PIC-NA"
18034;"Picea";"rubens";"Red spruce ;red spruce";"Épinette rouge";"EPR";14;"Sr";97;3;"18034-PIC-RUB"
18035;"Pinus";;"pine";;;;;100;;"18035-PIN-NA"
18036;"Pinus";"elliottii";"slash pine";;;;;111;;"18036-PIN-ELL"
18037;"Pinus";"taeda";"loblolly pine";;;;;131;;"18037-PIN-TAE"
18038;"Pinus";"palustris";"longleaf pine";;;;;121;;"18038-PIN-PAL"
18040;"Taxodium";;"baldcypress";;;;;220;;"18040-TAX-NA"
18041;"Taxodium";"distichum";"baldcypress";;;;;221;;"18041-TAX-DIS"
18043;"Thuja";;"thuja";;;;;240;;"18043-THU-NA"
18044;"Thuja";"plicata";"Western red cedar ;western redcedar";;;109;"";242;;"18044-THU-PLI"
18045;"Chamaecyparis";;"white-cedar";;;;;40;;"18045-CHA-NA"
18046;"Chamaecyparis";"thyoides";"Atlantic white-cedar";;;;;43;;"18046-CHA-THY"
18047;"Juniperus";;"redcedar/juniper";"Genévriers";"JUN";;;57;;"18047-JUN-NA"
18048;"Juniperus";"virginiana";"Eastern red cedar ;eastern redcedar";"Genévrier de Virginie";"JUV";23;"Cr";68;;"18048-JUN-VIR"
18069;"Magnolia";;"magnolia";;;;;650;;"18069-MAG-NA"
18070;"Magnolia";"virginiana";"sweetbay";;;;;653;;"18070-MAG-VIR"
18071;"Magnolia";"acuminata";"Cucumber tree ;cucumbertree";;;136;"";651;;"18071-MAG-ACU"
