"Code_on";"en_verna_name"
"001"; "Black spruce"
"002"; "White spruce"
"003"; "Red spruce"
"005"; "Balsam fir"
"006"; "White pine"
"007"; "Jack pine"
"008"; "Red pine"
"009"; "Eastern white cedar"
"010"; "Eastern hemlock"
"011"; "Tamarack"
"012"; "Red maple"
"013"; "Sugar maple"
"014"; "Yellow birch"
"015"; "Beech"
"016"; "Ironwood"
"017"; "Red oak"
"018"; "White ash"
"019"; "White birch"
"020"; "Trembling aspen"
"021"; "Large-tooth aspen"
"022"; "Alder"
"023"; "Mountain maple"
"024"; "Striped maple"
"025"; "American mountain ash"
"034"; "Serviceberry"
"035"; "Hazel"
"043"; "Willow"
"131"; "Grey birch"
"159"; "Pin cherry"
"163"; "Choke cherry"
"172"; "Black ash"
"183"; "Balsam poplar"
"194"; "Black cherry"
"219"; "Elm"
"220"; "Apple"
"224"; "Butternut"
