tsn;genus;species;en_com_name;fr_com_name;qc_code;on_tree_code;on_alpha_code;us_code;nb_code
17937;Cyathea;;treefern;NA;NA;NA;NA;6847;
17938;Cyathea;andina;parrotfeather treefern;NA;NA;NA;NA;6834;
17939;Cyathea;arborea;West Indian treefern;NA;NA;NA;NA;6835;
17940;Cyathea;furfuracea;Jamaican treefern;NA;NA;NA;NA;6839;
17941;Cyathea;parvula;small treefern;NA;NA;NA;NA;6843;
17947;Cibotium;;manfern;NA;NA;NA;NA;6549;
17948;Cibotium;chamissoi;Chamissos manfern;NA;NA;NA;NA;6546;
17949;Cibotium;glaucum;hapuu;NA;NA;NA;NA;6547;
18031;Abies;;fir ;NA;NA;NA;NA;10;
18032;Abies;balsamea;"Balsam fir ;balsam fir";Sapin baumier;SAB;20;Bf;12;5
18033;Picea;;spruce ;NA;NA;NA;NA;90;
18034;Picea;rubens;"Red spruce ;red spruce";Épinette rouge;EPR;14;Sr;97;3
18035;Pinus;;pine ;NA;NA;NA;NA;100;
18036;Pinus;elliottii;slash pine;NA;NA;NA;NA;111;
18036;Pinus;elliottii;Honduras pine;NA;NA;NA;NA;144;
18037;Pinus;taeda;loblolly pine;NA;NA;NA;NA;131;
18038;Pinus;palustris;longleaf pine;NA;NA;NA;NA;121;
18040;Taxodium;;baldcypress ;NA;NA;NA;NA;220;
18041;Taxodium;distichum;baldcypress;NA;NA;NA;NA;221;
18043;Thuja;;thuja ;NA;NA;NA;NA;240;
18044;Thuja;plicata;"Western red cedar ;western redcedar";NA;NA;109;;242;
18045;Chamaecyparis;;white-cedar ;NA;NA;NA;NA;40;
18046;Chamaecyparis;thyoides;Atlantic white-cedar;NA;NA;NA;NA;43;
18047;Juniperus;;redcedar/juniper ;Genévriers;JUN;NA;NA;57;
18048;Juniperus;virginiana;"Eastern red cedar ;eastern redcedar";Genévrier de Virginie;JUV;23;Cr;68;
18048;Juniperus;virginiana;"Eastern red cedar ;southern redcedar";Genévrier de Virginie;JUV;23;Cr;67;
18069;Magnolia;;magnolia ;NA;NA;NA;NA;650;
18070;Magnolia;virginiana;sweetbay;NA;NA;NA;NA;653;
18071;Magnolia;acuminata;"Cucumber tree ;cucumbertree";NA;NA;136;;651;
18073;Magnolia;fraseri;mountain or Fraser magnolia;NA;NA;NA;NA;655;
18074;Magnolia;grandiflora;southern magnolia;NA;NA;NA;NA;652;
18075;Magnolia;macrophylla;bigleaf magnolia;NA;NA;NA;NA;654;
18076;Magnolia;pyramidata;pyramid magnolia;NA;NA;NA;NA;657;
18077;Magnolia;tripetala;umbrella magnolia;NA;NA;NA;NA;658;
18078;Magnolia;portoricensis;Puerto Rico magnolia;NA;NA;NA;NA;7635;
18079;Magnolia;splendens;laurel magnolia;NA;NA;NA;NA;7636;
18086;Liriodendron;tulipifera;"Tulip tree ;yellow-poplar";NA;NA;60;Tp;621;
18095;Annona;;Annona;NA;NA;NA;NA;6130;
18097;Annona;montana;mountain soursop;NA;NA;NA;NA;6127;
18098;Annona;muricata;soursop;NA;NA;NA;NA;6128;
18099;Annona;reticulata;custard apple;NA;NA;NA;NA;6129;
18100;Annona;squamosa;sugar apple;NA;NA;NA;NA;6131;
18101;Annona;glabra;pond-apple;NA;NA;NA;NA;853;
18117;Asimina;triloba;"Pawpaw ;pawpaw";NA;NA;119;;367;
18124;Myristica;;Myristica;NA;NA;NA;NA;7904;
18148;Persea;;bay ;NA;NA;NA;NA;720;
18149;Persea;borbonia;redbay;NA;NA;NA;NA;721;
18154;Persea;americana;avocado;NA;NA;NA;NA;7211;
18155;Persea;krugii;canela;NA;NA;NA;NA;8134;
18156;Persea;urbaniana;aquacatillo;NA;NA;NA;NA;8138;
18158;Sassafras;albidum;"Sassafras ;sassafras";NA;NA;78;Ss;931;
18171;Aniba;bracteata;canelillo;NA;NA;NA;NA;6120;
18174;Cinnamomum;;cinnamon;NA;NA;NA;NA;6563;
18175;Cinnamomum;camphora;camphortree;NA;NA;NA;NA;858;
18183;Nectandra;coriacea;Nectandra coriacea;NA;NA;NA;NA;7932;
18185;Nectandra;membranacea;Nectandra membranacea;NA;NA;NA;NA;7935;
18186;Nectandra;krugii;Nectandra krugii;NA;NA;NA;NA;7934;
18187;Nectandra;patens;Nectandra patens;NA;NA;NA;NA;7936;
18190;Ocotea;leucoxylon;loblolly sweetwood;NA;NA;NA;NA;7994;
18192;Ocotea;floribunda;laurel espada;NA;NA;NA;NA;7990;
18193;Ocotea;foeniculacea;black sweetwood;NA;NA;NA;NA;7991;
18194;Ocotea;moschata;nemoca;NA;NA;NA;NA;7996;
18195;Ocotea;portoricensis;laurel de paloma;NA;NA;NA;NA;7999;
18196;Ocotea;spathulata;nemoca cimarrona;NA;NA;NA;NA;8001;
18197;Ocotea;wrightii;Wright's laurel canelon;NA;NA;NA;NA;8003;
18202;Licaria;triandra;pepperleaf sweetwood;NA;NA;NA;NA;7573;
18203;Licaria;brittoniana;Maria laurel;NA;NA;NA;NA;7569;
18205;Litsea;;Litsea;NA;NA;NA;NA;7587;
18208;Umbellularia;californica;California-laurel;NA;NA;NA;NA;981;
18209;Cryptocarya;;cryptocarya;NA;NA;NA;NA;6783;
18210;Cryptocarya;mannii;holio;NA;NA;NA;NA;6781;
18213;Beilschmiedia;pendula;slugwood;NA;NA;NA;NA;6233;
18307;Piper;hispidum;Jamaican pepper;NA;NA;NA;NA;8194;
18314;Piper;amalago;higuillo de limon;NA;NA;NA;NA;8191;
18315;Piper;blattarum;moth pepper;NA;NA;NA;NA;8192;
18317;Piper;glabrescens;Guyanese pepper;NA;NA;NA;NA;8193;
18318;Piper;marginatum;marigold pepper;NA;NA;NA;NA;8196;
18321;Piper;swartzianum;spanish elder;NA;NA;NA;NA;8199;
18874;Corynocarpus;;corynocarpus;NA;NA;NA;NA;6755;
18875;Corynocarpus;laevigatus;karaka nut;NA;NA;NA;NA;6754;
18995;Bocconia;;bocconia;NA;NA;NA;NA;6248;
18996;Bocconia;frutescens;parrotweed;NA;NA;NA;NA;6247;
19019;Platanus;;sycamore ;NA;NA;NA;NA;729;
19020;Platanus;occidentalis;"Sycamore ;American sycamore";NA;NA;57;Sy;731;
19022;Platanus;racemosa;California sycamore;NA;NA;NA;NA;730;
19023;Platanus;wrightii;Arizona sycamore;NA;NA;NA;NA;732;
19027;Liquidambar;styraciflua;sweetgum;NA;NA;NA;NA;611;
19039;Celtis;;hackberry ;NA;NA;NA;NA;460;
19040;Celtis;occidentalis;"Hackberry ;hackberry";Micocoulier occidental;CEO;68;Hk;462;
19042;Celtis;laevigata;sugarberry;NA;NA;NA;NA;461;
19042;Celtis;laevigata;netleaf hackberry;NA;NA;NA;NA;463;
19047;Celtis;trinervia;almex;NA;NA;NA;NA;6454;
19048;Ulmus;;elm ;NA;NA;NA;NA;970;
19049;Ulmus;americana;"American elm ;American elm";Orme d'Amérique;ORA;50;Ea;972;
19050;Ulmus;rubra;"Red elm (slippery) ;slippery elm";Orme rouge;ORR;170;Es;975;
19051;Ulmus;alata;winged elm;NA;NA;NA;NA;971;
19052;Ulmus;crassifolia;cedar elm;NA;NA;NA;NA;973;
19057;Ulmus;pumila;Siberian elm;NA;NA;NA;NA;974;
19058;Ulmus;serotina;September elm;NA;NA;NA;NA;976;
19059;Ulmus;thomasii;"Rock elm ;rock elm";Orme de Thomas;ORT;169;Eu;977;
19061;Planera;aquatica;water-elm, planertree;NA;NA;NA;NA;722;
19066;Morus;alba;white mulberry;NA;NA;NA;NA;681;
19068;Morus;microphylla;Texas mulberry;NA;NA;NA;NA;683;
19069;Morus;nigra;black mulberry;NA;NA;NA;NA;684;
19070;Morus;rubra;"Red mulberry ;red mulberry";NA;NA;175;Mo;682;
19071;Artocarpus;;meduu;NA;NA;NA;NA;6178;
19078;Castilla;elastica;Panama rubbertree;NA;NA;NA;NA;6430;
19083;Ficus;benjamina;weeping fig;NA;NA;NA;NA;7150;
19085;Ficus;elastica;Indian rubberplant;NA;NA;NA;NA;7155;
19092;Ficus;aurea;Florida strangler fig;NA;NA;NA;NA;876;
19093;Ficus;carica;edible fig;NA;NA;NA;NA;7151;
19094;Ficus;citrifolia;wild banyantree, shortleaf fig;NA;NA;NA;NA;877;
19096;Ficus;obtusifolia;amate;NA;NA;NA;NA;7164;
19099;Ficus;trigonata;jaguey blanco;NA;NA;NA;NA;7177;
19101;Maclura;tinctoria;Maclura tinctoria;NA;NA;NA;NA;7632;
19102;Maclura;pomifera;Osage-orange;NA;NA;NA;NA;641;
19103;Trema;;trema;NA;NA;NA;NA;8832;
