spcd;common_name;genus;species
7011;mountain immortelle;Erythrina;poeppigiana
7021;ratwood;Erythroxylum;rotundifolium
7022;rufous false cocaine;Erythroxylum;rufum
7012;wili wili;Erythrina;sandwicensis
7014;gatae palagi;Erythrina;subumbrans
7024;Urban's false cocaine;Erythroxylum;urbanii
7015;tiger's claw;Erythrina;variegata
7016;tiger's claw;Erythrina;variegata
7013;erythrina;Erythrina;
7059;edebsachel, chedebsachel;Eugenia;aquea
7060;white stopper;Eugenia;axillaris
7061;blackrodwood;Eugenia;biflora
7025;southern mahogany;Eucalyptus;botryoides
7062;Sierra de Cayey stopper;Eugenia;boqueronensis
7063;guayabota de sierra;Eugenia;borinquensis
7026;applebox;Eucalyptus;bridgesiana
7065;cloves;Eugenia;caryophyllus
512;river redgum;Eucalyptus;camaldulensis
510;eucalyptus ;Eucalyptus;
7028;argyle apple;Eucalyptus;cinerea
7030;sugargum;Eucalyptus;cladocalyx
7069;sperry guava;Eugenia;corozalensis
7109;Mexican shrubby spurge;Euphorbia;cotinifolia
7031;yate;Eucalyptus;cornuta
7066;redberry stopper;Eugenia;confusa
7067;lathberry;Eugenia;cordata
7068;lathberry;Eugenia;cordata
7032;narrowleaf red ironbark;Eucalyptus;crebra
7033;roundleaf gum;Eucalyptus;deanei
7034;Indonesian gum;Eucalyptus;deglupta
7071;serrette guave;Eugenia;domingensis
7072;guasabara;Eugenia;eggersii
7096;stopper;Eugenia;
511;Tasmanian bluegum;Eucalyptus;globulus
7075;smooth rodwood;Eugenia;glabrata
7038;tuart;Eucalyptus;gomphocephala
7039;mountain graygum;Eucalyptus;goniocalyx
513;grand eucalyptus;Eucalyptus;grandis
7110;Kauai spurge;Euphorbia;haeleeleana
7076;Luquillo Mountain stopper;Eugenia;haematocarpa
7041;white box;Eucalyptus;hemiphloia
7123;Euodia hortensis;Euodia;hortensis
7078;macupa, wax apple;Eugenia;javanica
7079;nioi;Eugenia;koolauensis
7111;mottled spurge;Euphorbia;lactea
7081;privet stopper;Eugenia;ligustrina
7117;Longan;Euphoria;longana
7043;spotted gum;Eucalyptus;maculata
7044;jarrah;Eucalyptus;marginata
7082;makupa, malay apple;Eugenia;malaccensis
7045;Australian tallowwood;Eucalyptus;microcorys
7084;birdcherry;Eugenia;monticola
7112;Indian spurgetree;Euphorbia;neriifolia
7086;Eugenia nitida;Eugenia;nitida
7124;kertub;Euodia;nitida
7127;Euodia;Euodia;
