Code_on;en_verna_name
1;Blackspruce
2;Whitespruce
3;Redspruce
5;Balsamfir
6;Whitepine
7;Jackpine
8;Redpine
9;Easternwhitecedar
10;Easternhemlock
11;Tamarack
12;Redmaple
13;Sugarmaple
14;Yellowbirch
15;Beech
16;Ironwood
17;Redoak
18;Whiteash
19;Whitebirch
20;Tremblingaspen
21;Large-toothaspen
22;Alder
23;Mountainmaple
24;Stripedmaple
25;Americanmountainash
34;Serviceberry
35;Hazel
43;Willow
131;Greybirch
159;Pincherry
163;Chokecherry
172;Blackash
183;Balsampoplar
194;Blackcherry
219;Elm
220;Apple
224;Butternut
