tree_code;alpha_code;genus;species;common_nam;comments
76;Pl;Populus;alba;Silver poplar;
87;Op;Quercus;palustris;Pin oak;
63;Ww;Salix;alba;"White willow;European willow";
60;Tp;Liriodendron;tulipifera;Tulip tree;
169;Eu;Ulmus;thomasii;Rock elm;
86;Obl;Quercus;nigra;Black oak;
40;Ow;Quercus;alba;White oak;
37;By;Betula;alleghaniensis;Yellow birch;
22;Cw;Thuja;occidentalis;White cedar;
70;Al;Populus;grandidentata;Large tooth aspen;
888;;Unknown;Unknown;Unknown species;
46;Aw;Fraxinus;americana;White ash;
19;He;Tsuga;canadensis;Eastern hemlock;
14;Sr;Picea;rubens;Red spruce;
150;Ll;Tilia;cordata;Little leaf linden;
175;Mo;Morus;rubra;Red mulberry;
173;Rf;Rhamnus;frangula;"Glossy buckthorn;alder buckthorn";Dublicated with balsam Poplar as 73, some used 173 for tree, was 1197 in shrub.
128;Ht;Crataegus;spp.;Hawthorn;
136;;Magnolia;acuminata;Cucumber tree;
166;Bl;Tilia;platyphyllos;Big leaf linden;
42;Ob;Quercus;macrocarpa;"Bur oak;mossy-cup oak";
172;Cs;Castanea;sativa;Sweet chestnut;
5;Pp;Pinus;rigida;Pitch pine;
117;Mm;Acer;negundo;"Manitoba maple;box elder";
89;Hp;Carya;glabra;Pignut hickory;
2;Pr;Pinus;resinosa;Red pine;
132;Aq;Fraxinus;quadrangulata;Blue ash;
15;Sn;Picea;abies;Norway spruce;
69;Hc;Aesculus;hippocastanum;Horse chestnut;
32;Mr;Acer;rubrum;Red maple (soft);
38;Bw;Betula;papyrifera;"White birch;paper birch";
124;Hs;Carya;ovata;Shagbark hickory;
39;Os;Quercus;shumardii;Shumard's oak;
6;Pa;Pinus;nigra;Austrian pine;
68;Hk;Celtis;occidentalis;Hackberry;
25;La;Larix;laricina;Tamarack;
41;Or;Quercus;rubra;Red oak;
4;Ps;Pinus;sylvestris;Scots pine;
64;We;Salix;babylonica;Weeping willow;
121;;Betula;pubescens;"Hairy birch;swamp birch";
174;Cc;Prunus;cerasus;Sour cherry;
44;Be;Fagus;grandifolia;American beech;
13;Sb;Picea;mariana;Black spruce;
97;Ph;Populus;Hybrid poplar;;
88;Osw;Quercus;bicolor;Swamp white oak;
109;;Thuja;plicata;Western red cedar;
51;Bd;Tilia;americana;Basswood;
171;Cd;Castanea;dentata;American chestnut;
145;;Sorbus;aria;White beam tree;
47;Ag;Fraxinus;pennsylvanica;Red ash (green);
168;Br;Betula;populifolia;"Grey birch;wire birch";
112;Bc;Betula;lenta;"Cherry birch;sweet birch";
54;Wb;Juglans;nigra;Black walnut;
56;Id;Ostrya;virginiana;Ironwood;
58;Cb;Prunus;serotina;Black cherry;
73;Pb;Populus;balsamifera;Balsam poplar;
30;Mh;Acer;saccharum;Sugar maple (hard);
92;Hm;Carya;tomentosa;Mockernut hickory;
72;Pc;Populus;canadensis;Carolina poplar;
77;;Catalpa;speciosa;"Northern catalpa;Indian bean";
1;Pw;Pinus;strobus;Eastern white pine;
134;;Liquidambar;styracifula;Sweet gum;
34;Mn;Acer;platanoides;Norway maple;
133;Kk;Gymnocladus;dioicus;Kentucky coffee tree;
33;Ms;Acer;saccharinum;Silver maple (soft);
120;Bp;Betula;pendula;"European white birch (weeping);silver birch";
12;Sw;Picea;glauca;White spruce;
170;Es;Ulmus;rubra;Red elm (slippery);
50;Ea;Ulmus;americana;American elm;
119;;Asimina;triloba;Pawpaw;
137;;Nyssa;sylvatica;Black gum;
71;Pd;Populus;deltoides;Cottonwood;
176;AP;Fraxinus;profunda;Pumpkin ash;
139;;Prunus;pensylvanica;Pin cherry;
74;At;Populus;tremuloides;Trembling aspen;
96;Gt;Gleditsia;triacanthos;Honey locust;
27;Lj;Larix;leptolepis;Japanese larch;
20;Bf;Abies;balsamea;Balsam fir;
93;Hl;Carya;laciniosa;Big shellbark hickory;
23;Cr;Juniperus;virginiana;Eastern red cedar;
125;;Cercis;canadensis;Redbud;
26;Le;Larix;decidua;European larch;
90;Cm;Prunus;avium;"Mazzard cherry;sweet cherry";
91;Oc;Quercus;muehlenbergii;Chinquapin oak;
78;Ss;Sassafras;albidum;Sassafras;
55;Bn;Juglans;cinerea;Butternut;
57;Sy;Platanus;occidentalis;Sycamore;
123;Hb;Carya;cordiformis;Bitternut hickory;
141;;Ptelea;trifoliata;Hop tree;
146;;Sorbus;aucuparia;European mountain ash;
45;Ab;Fraxinus;nigra;Black ash;
111;Bu;Carpinus;caroliniana;Blue beech;
94;Mb;Acer;nigrum;Black maple (hard);
3;Pj;Pinus;banskiana;Jack pine;
61;Lb;Robinia;psuedoacacia;Black locust;
