"";"tsn";"genus";"species";"itis_acceptedname";"en_common";"fr_common";"us_code";"qc_code";"on_alpha_code";"on_tree_code"
"1";"18193";"Ocotea";"foeniculacea";"";"black sweetwood";NA;7991;NA;NA;NA
"2";"18196";"Ocotea";"spathulata";"";"nemoca cimarrona";NA;8001;NA;NA;NA
"3";"18210";"Cryptocarya";"mannii";"";"holio";NA;6781;NA;NA;NA
"4";"183712";"Byrsonima";"wadsworthii";"";"almendrillo";NA;6315;NA;NA;NA
"5";"18875";"Corynocarpus";"laevigatus";"";"karaka nut";NA;6754;NA;NA;NA
"6";"19255";"Juglans";"jamaicensis";"";"West Indian walnut";NA;7495;NA;NA;NA
"7";"196017";"Melicope";"barbigera";"";"uahiapele";NA;7721;NA;NA;NA
"8";"196044";"Melicope";"pallida";"";"pale melicope";NA;7743;NA;NA;NA
"9";"196045";"Melicope";"paniculata";"";"Lihue melicope";NA;7744;NA;NA;NA
"10";"196053";"Melicope";"saint-johnii";"";"St. Johns melicope";NA;7752;NA;NA;NA
"11";"20827";"Nototrichium";"humile";"";"kaala rockwort";NA;7971;NA;NA;NA
"12";"20828";"Nototrichium";"sandwicense";"";"Hawaii rockwort";NA;7972;NA;NA;NA
"13";"27268";"Myrcia";"paganii";"";"ausu";NA;7890;NA;NA;NA
"14";"27966";"Maytenus";"elongata";"";"Puerto Rico mayten";NA;7697;NA;NA;NA
"15";"27967";"Maytenus";"ponceana";"";"ponce mayten";NA;7699;NA;NA;NA
"16";"28004";"Ilex";"cookii";"";"te";NA;7456;NA;NA;NA
"17";"28215";"Antidesma";"platyphyllum";"";"ha a";NA;6139;NA;NA;NA
"18";"28216";"Antidesma";"pulvinatum";"";"hame";NA;6143;NA;NA;NA
"19";"28300";"Croton";"poecilanthus";"";"sabinon";NA;6775;NA;NA;NA
"20";"28311";"Drypetes";"alba";"";"cafeillo";NA;6937;NA;NA;NA
"21";"28673";"Cupania";"triquetra";"";"guara blanca";NA;6792;NA;NA;NA
"22";"28770";"Tetragastris";"balsamifera";"";"masa";NA;8768;NA;NA;NA
"23";"28798";"Comocladia";"glabra";"";"carrasco";NA;6706;NA;NA;NA
"24";"31760";"Cordia";"rickseckeri";"";"San Bartolome";NA;6738;NA;NA;NA
"25";"31762";"Cordia";"sulcata";"";"mucilage manjack";NA;6743;NA;NA;NA
"26";"32146";"Callicarpa";"ampla";"";"caparosa";NA;6326;NA;NA;NA
"27";"34647";"Clermontia";"lindseyana";"";"hillside clermontia";NA;6613;NA;NA;NA
"28";"34651";"Clermontia";"montis-loa";"";"Mauna Loa clermontia";NA;6615;NA;NA;NA
"29";"34655";"Clermontia";"pallida";"";"Wailai Pali clermontia";NA;6620;NA;NA;NA
"30";"34657";"Clermontia";"parviflora";"";"smallflower clermontia";NA;6621;NA;NA;NA
"31";"34658";"Clermontia";"peleana";"";"pele clermontia";NA;6622;NA;NA;NA
"32";"34660";"Clermontia";"pyrularia";"";"Hamakua clermontia";NA;6626;NA;NA;NA
"33";"34780";"Scaevola";"procera";"";"forest naupaka";NA;8551;NA;NA;NA
"34";"35098";"Psychotria";"grandiflora";"";"largeflower wild coffee";NA;8366;NA;NA;NA
"35";"35123";"Psychotria";"maleolens";"";"cachimbo de gato";NA;8389;NA;NA;NA
"36";"35207";"Machaonia";"portoricensis";"";"Puerto Rico alfilerillo";NA;7630;NA;NA;NA
"37";"38756";"Dubautia";"plantaginea";"";"plantainleaf dubautia";NA;6953;NA;NA;NA
"38";"38759";"Dubautia";"reticulata";"";"netvein dubautia";NA;6957;NA;NA;NA
"39";"501004";"Bobea";"brevipes";"";"akupa";NA;6242;NA;NA;NA
"40";"501526";"Cinnamomum";"elongatum";"";"laurel avispillo";NA;6559;NA;NA;NA
"41";"501586";"Clermontia";"fauriei";"";"haha aiakamanu";NA;6605;NA;NA;NA
"42";"501598";"Coccoloba";"pallida";"";"pale seagrape";NA;6662;NA;NA;NA
"43";"501600";"Coccoloba";"tenuifolia";"";"Bahama pigeonplum";NA;6669;NA;NA;NA
"44";"502463";"Eucalyptus";"bridgesiana";"";"applebox";NA;7026;NA;NA;NA
"45";"502469";"Eucalyptus";"cornuta";"";"yate";NA;7031;NA;NA;NA
"46";"502474";"Eucalyptus";"gomphocephala";"";"tuart";NA;7038;NA;NA;NA
"47";"502475";"Eucalyptus";"goniocalyx";"";"mountain graygum";NA;7039;NA;NA;NA
"48";"502477";"Eucalyptus";"marginata";"";"jarrah";NA;7044;NA;NA;NA
"49";"502481";"Eucalyptus";"pilularis";"";"blackbutt";NA;7047;NA;NA;NA
"50";"502482";"Eucalyptus";"raveretiana";"";"black ironbox";NA;7048;NA;NA;NA
"51";"502627";"Fitchia";"speciosa";"";"burrdaisytree";NA;7182;NA;NA;NA
"52";"502633";"Flindersia";"brayleyana";"";"Queensland maple";NA;7188;NA;NA;NA
"53";"502636";"Flueggea";"neowawraea";"";"mehamehame";NA;7192;NA;NA;NA
"54";"502728";"Gardenia";"taitensis";"";"Tahitian gardenia";NA;7228;NA;NA;NA
"55";"502991";"Hibiscadelphus";"crucibracteatus";"";"lava hau kuahiwi";NA;7385;NA;NA;NA
"56";"503224";"Ixora";"thwaitesii";"";"white jungleflame";NA;7481;NA;NA;NA
"57";"503303";"Labordia";"waiolani";"";"Nevada peavine";NA;7529;NA;NA;NA
"58";"503571";"Lunania";"ekmanii";"";"Lunania ekmanii";NA;7606;NA;NA;NA
"59";"503713";"Maytenus";"laevigata";"";"white cinnamon";NA;7698;NA;NA;NA
"60";"504245";"Pera";"bumeliifolia";"";"jiqi";NA;8127;NA;NA;NA
"61";"504252";"Perrottetia";"sandwicensis";"";"olomea";NA;8131;NA;NA;NA
"62";"504446";"Pleomele";"auwahiensis";"";"Maui hala pepe";NA;8258;NA;NA;NA
"63";"504609";"Pritchardia";"schattaueri";"";"lands of papa pritchardia";NA;8336;NA;NA;NA
"64";"504610";"Pritchardia";"waialealeana";"";"poleline pritchardia";NA;8339;NA;NA;NA
"65";"504654";"Psychotria";"greenwelliae";"";"Kauai wild coffee";NA;8369;NA;NA;NA
"66";"505412";"Symplocos";"lanata";"";"nispero cimarron";NA;8683;NA;NA;NA
"67";"505414";"Symplocos";"micrantha";"";"aceitunilla";NA;8685;NA;NA;NA
"68";"505771";"Xylosma";"buxifolia";"";"mucha-gente";NA;8906;NA;NA;NA
"69";"505774";"Xylosma";"pachyphylla";"";"spiny logwood";NA;8910;NA;NA;NA
"70";"505775";"Xylosma";"schaefferioides";"";"white logwood";NA;8912;NA;NA;NA
"71";"505776";"Xylosma";"schwaneckeana";"";"Schwaneck's logwood";NA;8913;NA;NA;NA
"72";"506412";"Canarium";"indicum";"";"lukerr";NA;6374;NA;NA;NA
"73";"506555";"Artocarpus";"mariannensis";"";"dugdug, Marianas breadfruit";NA;6175;NA;NA;NA
"74";"507266";"Aglaia";"ponapensis";"";"karasyu, marasau";NA;6044;NA;NA;NA
"75";"507267";"Ascarina";"diffusa";"";"afia";NA;6181;NA;NA;NA
"76";"507269";"Astronidium";"pickeringii";"";"Astronidium pickeringii";NA;6187;NA;NA;NA
"77";"507283";"Cinnamomum";"sessilifolium";"";"matieu";NA;6562;NA;NA;NA
"78";"507299";"Dysoxylum";"huntii";"";"maota mea";NA;6968;NA;NA;NA
"79";"507300";"Elaeocarpus";"carolinensis";"";"syatak";NA;6976;NA;NA;NA
"80";"507304";"Endiandra";"elaeocarpa";"";"elaeocarpa";NA;6994;NA;NA;NA
"81";"507314";"Ficus";"godeffroyi";"";"mati";NA;7156;NA;NA;NA
"82";"507315";"Ficus";"prolixa";"";"aoa";NA;7165;NA;NA;NA
"83";"507324";"Garcinia";"myrtifolia";"";NA;NA;7216;NA;NA;NA
"84";"507362";"Melicytus";"samoensis";"";"samoensis";NA;7759;NA;NA;NA
"85";"507363";"Merrilliodendron";"megacarpum";"";"faniok";NA;7774;NA;NA;NA
"86";"507373";"Pandanus";"kanehirae";"";"buuk";NA;8067;NA;NA;NA
"87";"507375";"Pandanus";"palawensis";"";"ongor, ertochet";NA;8076;NA;NA;NA
"88";"507376";"Pandanus";"patina";"";"peet";NA;8077;NA;NA;NA
"89";"507418";"Stemonurus";"ammui";"";"ngmui";NA;8655;NA;NA;NA
"90";"507431";"Weinmannia";"affinis";"";"Weinmannia affinis";NA;8886;NA;NA;NA
"91";"507890";"Hibiscadelphus";"woodii";"";"Woods hau kuahiwi";NA;7392;NA;NA;NA
"92";"565072";"Clerodendrum";"macrostegium";"";"velvetleaf glorybower";NA;6635;NA;NA;NA
"93";"565433";"Pritchardia";"perlmanii";"";"Waioli Valley pritchardia";NA;8330;NA;NA;NA
"94";"819914";"Serianthes";"nelsonii";"";"hayun lago, trongkon guafi";NA;8603;NA;NA;NA
"95";"822334";"Meryta";"senfftiana";"";"omechidel";NA;7777;NA;NA;NA
"96";"822482";"Neuburgia";"celebica";"";"kalm, aralm";NA;7962;NA;NA;NA
"97";"822515";"Fagraea";"berteroana";"";"pualulu";NA;7141;NA;NA;NA
"98";"828486";"Cyrtandra";"pulchella";"";"cyrtandra";NA;6863;NA;NA;NA
"99";"834905";"Eucalyptus";"salicifolia";"";"black peppermint";NA;7052;NA;NA;NA
"100";"834971";"Leptospermum";"polygalifolim";"";"common teatree";NA;7560;NA;NA;NA
"101";"834973";"Leptospermum";"morrisonii";"";"large-leaf yellow teatree";NA;7558;NA;NA;NA
"102";"835178";"Eugenia";"thompsonii";"";"atoto";NA;7102;NA;NA;NA
"103";"845459";"Macaranga";"thompsonii";"";"Macaranga thompsonii";NA;7627;NA;NA;NA
"104";"845473";"Claoxylon";"marianum";"";"katteknau, katot";NA;6590;NA;NA;NA
"105";"845485";"Macaranga";"carolinensis";"";"bedel";NA;7618;NA;NA;NA
"106";"845502";"Claoxylon";"carolinianum";"";"koee";NA;6586;NA;NA;NA
"107";"845504";"Claoxylon";"longiracemosum";"";"Claoxylon longiracemosum";NA;6589;NA;NA;NA
"108";"845549";"Cleistanthus";"carolinianus";"";"Cleistanthus carolinianus";NA;6593;NA;NA;NA
"109";"845563";"Baccaurea";"taitensis";"";"Saitamu";NA;6208;NA;NA;NA
"110";"845567";"Cleistanthus";"insularis";"";"Cleistanthus insularis";NA;6594;NA;NA;NA
"111";"845574";"Glochidion";"marianum";"";"Glochidion marianum";NA;7248;NA;NA;NA
"112";"845587";"Drypetes";"vitiensis";"";NA;NA;6943;NA;NA;NA
"113";"845591";"Drypetes";"nitida";"";"kevert";NA;6941;NA;NA;NA
"114";"845756";"Heritiera";"longipetiolata";"";"ufa halemtano";NA;7360;NA;NA;NA
"115";"845977";"Psychotria";"rotensis";"";"Psychotria rotensis";NA;8399;NA;NA;NA
"116";"895119";"Rhus";"taitensis";"";"tavai";NA;8469;NA;NA;NA
"117";"896735";"Elaeocarpus";"joga";"";"joga";NA;6980;NA;NA;NA
"118";"914950";"Cyathea";"medullaris";"";"olioli";NA;6841;NA;NA;NA
"119";NA;"Aglaia";"mariannensis";"";"Titimel";NA;6042;NA;NA;NA
"120";NA;"Aglaia";"palauensis";"";"mesecheues";NA;6043;NA;NA;NA
"121";NA;"Aglaia";"samoensis";"";"laga ali";NA;6046;NA;NA;NA
"122";NA;"Alphitonia";"carolinensis";"";"chelebiob, elebiong";NA;6088;NA;NA;NA
"123";NA;"Alphitonia";"zizyphoides";"";"toi";NA;6091;NA;NA;NA
"124";NA;"Anacolosa";"insularis";"";"Anacolosa insularis";NA;6109;NA;NA;NA
"125";NA;"Antidesma";"kusaiense";"";"Antidesma kusaiense";NA;6138;NA;NA;NA
"126";NA;"Antidesma";"ponapense";"";"Antidesma ponapense";NA;6142;NA;NA;NA
"127";NA;"Antidesma";"sphaerocarpum";"";"Antidesma sphaerocarpum";NA;6144;NA;NA;NA
"128";NA;"Artocarpus";"nobilis";"";"Artocarpus nobilis";NA;6176;NA;NA;NA
"129";NA;"Astronidium";"navigatorum";"";"Astronidium navigatorum";NA;6185;NA;NA;NA
"130";NA;"Astronidium";"palauense";"";"meskui";NA;6186;NA;NA;NA
"131";NA;"Astronidium";"samoense";"";"Astronidium samoense";NA;6188;NA;NA;NA
"132";NA;"Astronidium";"spp.";"";"Astronidium";NA;6189;NA;NA;NA
"133";NA;"Astronidium";"subcordata";"";"Astronidium subcordata";NA;6190;NA;NA;NA
"134";NA;"Atuna";"racemosa";"";"ifi ifi";NA;6193;NA;NA;NA
"135";NA;"Badusa";"palauensis";"";"ralm";NA;6213;NA;NA;NA
"136";NA;"Betula";"pubescens";"";"Hairy birch;swamp birch";NA;NA;NA;"";121
"137";NA;"Bobea";"spp.";"";"ahakea";NA;6245;NA;NA;NA
"138";NA;"Boehmeria";"virgata";"";"virgata";NA;6250;NA;NA;NA
"139";NA;"Buchanania";"engleriana";"";"omail";NA;6277;NA;NA;NA
"140";NA;"Buchanania";"merrillii";"";"gasu";NA;6278;NA;NA;NA
"141";NA;"Buchanania";"palawensis";"";"omail, deuachel";NA;6279;NA;NA;NA
"142";NA;"Caesalpinia";"kavaiensis";"";"uhiuhi";NA;6318;NA;NA;NA
"143";NA;"Calophyllum";"neo-ebudicum";"";"tamanu";NA;6342;NA;NA;NA
"144";NA;"Calophyllum";"pelewense";"";"chesemolech";NA;6343;NA;NA;NA
"145";NA;"Campnosperma";"brevipetiolatum";"";"kelela charm, kiu";NA;6366;NA;NA;NA
"146";NA;"Canarium";"hirsutum";"";"mesecheues";NA;6373;NA;NA;NA
"147";NA;"Canarium";"mafoa";"";"mafoa";NA;6372;NA;NA;NA
"148";NA;"Canarium";"vitiense";"";"maali";NA;6378;NA;NA;NA
"149";NA;"Casearia";"cauliflora";"";"keuert";NA;6405;NA;NA;NA
